FilerEIN,TaxYear,FormAndLineReferenceDesc,ExplanationTxt
135562401,2018,"Schedule C, Part II-B, Line 1 DETAILED DESCRIPTION OF THE LOBBYING ACTIVITY",THE YMCA RETIREMENT FUND IS A MEMBER OF THE CHURCH ALLIANCE WHICH ENGAGES IN DIRECT LOBBYING REGARDING LEGISLATION THAT ADVERSELY AFFECTS CHURCH PENSION AND BENEFIT PLANS. THE AMOUNT INDICATED ABOVE REFERENCED DUES PAID.
510198509,2018,"PART II-B, LINE 1:","THE ORGANIZATION MAKES VARIOUS GRANTS TO OTHER ORGANIZATIONS FOR LOBBYING ACTIVITIES WHICH SUPPORT INITIATIVES WITHIN THE TIDES FOUNDATION AREAS OF FOCUS: ON EQUALITY AND HUMAN RIGHTS, A SUSTAINABLE ENVIRONMENT, HEALTHY INDIVIDUALS AND COMMUNITIES, AND QUAILTY EDUCATION."
364724966,2018,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: NORTHWESTERN MEMORIAL HOSPITAL ADDRESS: 251 E HURON CHICAGO, Illinois 60611 EIN: 37-0960170 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: 90,775 TOTAL LOBBYING EXPENDITURES: 90,775 OTHER EXEMPT PURPOSE EXPENDITURES: 2,116,938,780 TOTAL EXEMPT PURPOSE EXPENDITURES: 2,117,029,555 LOBBYING NONTAXABLE AMOUNT: 1,000,000 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 250,000 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
364724966,2018,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: NORTHWESTERN LAKE FOREST HOSPITAL ADDRESS: 1000 N WESTMORELAND ROAD LAKE FOREST, Illinois 60645 EIN: 36-2179779 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: 36,982 TOTAL LOBBYING EXPENDITURES: 36,982 OTHER EXEMPT PURPOSE EXPENDITURES: 417,518,051 TOTAL EXEMPT PURPOSE EXPENDITURES: 417,555,033 LOBBYING NONTAXABLE AMOUNT: 1,000,000 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 250,000 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
364724966,2018,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: NORTHWESTERN MEDICAL FACULTY FOUNDATION ADDRESS: 251 E HURON CHICAGO, Illinois 60611 EIN: 36-3097297 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: TOTAL LOBBYING EXPENDITURES: OTHER EXEMPT PURPOSE EXPENDITURES: 1,207,020,899 TOTAL EXEMPT PURPOSE EXPENDITURES: 1,207,020,899 LOBBYING NONTAXABLE AMOUNT: 1,000,000 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 250,000 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
364724966,2018,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: LAKE FOREST HEALTH & FITNESS INSTITUTE ADDRESS: 1200 N WESTMORELAND ROAD LAKE FOREST, Illinois 60645 EIN: 36-3835030 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: TOTAL LOBBYING EXPENDITURES: OTHER EXEMPT PURPOSE EXPENDITURES: 6,161,412 TOTAL EXEMPT PURPOSE EXPENDITURES: 6,161,412 LOBBYING NONTAXABLE AMOUNT: 458,071 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 114,518 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
364724966,2018,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: NORTHWESTERN MEMORIAL FOUNDATION ADDRESS: 251 E HURON CHICAGO, Illinois 60611 EIN: 36-3155315 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: TOTAL LOBBYING EXPENDITURES: OTHER EXEMPT PURPOSE EXPENDITURES: 14,880,099 TOTAL EXEMPT PURPOSE EXPENDITURES: 14,880,099 LOBBYING NONTAXABLE AMOUNT: 894,005 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 223,501 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
208295721,2018,Additional Information,"Part I-A UPMC Group Entities do not engage in any direct or indirect political activity. Part II-B UPMC Group maintains a department of government relations whose primary function is to maintain contact with elected and appointed officials at the federal, state, and local levels. The department promotes legislative actions with respect to healthcare related issues that could impact the organization. Part II-B, Line 1D The amount for mailings is not readily quantifiable, however, UPMC recognizes that in the course of business, these expenses may occur."
204329740,2018,"PART II-B, LINE 1i",Allocation of Website to organize supporters to sign petitions in favor or against proposed congressional legislation.
370662561,2018,"PART II-B, LINE F",GRANTS TO OTHER ORGANIZATIONS FOR LOBBYING PURPOSES THE AMOUNT REPRESENTS THE PORTION OF DUES PAID TO PROFESSIONAL ORGANIZATIONS THAT IS ALLOCATED TO THE LOBBYING ACTIVITIES OF THOSE ORGANIZATIONS.
264436716,2018,II-A,"Father Flanagans Boys Home, 14100 Crawford Street, Boys Town NE 68010, 47-0376606, 314,861,452, 285,889 Father Flanagans Fund for Needy Children, 14100 Crawford Street, Boys Town, NE 68010, 36-3680258, 44,976,171, 0 Boys Town California, Inc., 14100 Crawford Street, Boys Town, NE 68010, 76-0720675, 760,897, 0 Boys Town Central Florida, Inc., 975 Oklahoma Street, Oviedo, FL 32765, 20-0654235, 6,601,309, 0 Boys Town Louisiana, Inc., 300 North Broad Street, Ste. 106, New Orleans, LA 70119, 41-2220807, 8,068,337, 0 Boys Town Nevada, Inc. 821 N Mojave Road., Las Vegas, NV 89101, 20-0654472, 4,397,009, 0 Boys Town New England, Inc., Barzarsky Campus 58 Flanagan Road., Portsmouth, RI 02871, 20-0655240, 7,748,500, 0 Boys Town New York, Inc., 14100 Crawford Street, Boys Town, NE 68010, 20-5960877, 1,019,944, 0 Boys Town North Florida, Inc., 3555 Commonwealth Blvd. Tallahassee, FL 32303, 20-0655144, 6,247,587, 0 Boys Town Washington .C. Inc., 4801 Sargent Rd N.E., Washington, DC 20017, 41-2220810, 6,433,805, 0 Boys Town South Florida, Inc., 1655 Palm Beach Lakes Blvd., West Palm Beach, FL 33401, 26-3965524, 8,028,782, 0 Lied Learning and Technology Center for Childhood Deafness and Vision Disorders, 14100 Crawford Street, Boys Town, NE 68010, 47-0841263, 945,997, 0 Nebraska Families Collaborative, 2110 Papillion Parkway, Omaha, NE 68164, 26-4436716, 68,090,179, 48,200."
941196203,2018,PART II-B,"THE ORGANIZATION PAID FEES TO OTHER ORGANIZATIONS FOR LOBBYING PURPOSES, PAID COMPENSATION TO STAFF AND MANAGEMENT IN THE PERFORMANCE OF THEIR DUTIES IN ATTEMPTING TO INFLUENCE LEGISLATION, HELD MEETINGS WITH AND CALLED GOVERNMENT OFFICIALS, AND DEVELOPED AND SENT LETTERS. IN ADDITION, THIS ORGANIZATION IS A MEMBER OF HEALTHCARE ASSOCIATIONS WHOSE PURPOSES INCLUDE DIRECTING, DEVELOPING, AND AFFECTING PUBLIC POLICY AND LEGISLATION WITH REGARD TO ISSUES AFFECTING HEALTHCARE. THE ORGANIZATION PAID ANNUAL DUES TO THESE ASSOCIATIONS, WHICH MAY BE USED FOR LOBBYING PURPOSES AS REFLECTED ON PART II-B, LINE 1I, OTHER ACTIVITIES."
742393839,2018,"Part I-A, Line 1 - Direct and Indirect Political Campaign Activities","THE ORGANIZATION MAINTAINS A PERMANENT LEGISLATIVE LIAISON AND ENGAGES IN PROCEEDINGS OF THE STATE AND NATIONAL LEGISLATURE AND THEIR COMMITTEES, OF THE TEXAS PARKS AND WILDLIFE DEPARTMENT AND STATE AND FEDERAL AGENCIES ON MATTERS AFFECTING THE INTERESTS OF OUR MEMBERS, AND TESTIFIES WHENEVER APPLICABLE IN SUPPORT OF THESE INTERESTS."
951637466,2018,"PART I-A, LINE 1:",NOT APPLICABLE
870409820,2018,"PART I-A, LINE 1:",SELECTHEALTH PARTICIPATES IN THE POLITICAL PROCESS BY PROVIDING SMALL AMOUNTS OF DIRECT CASH AND IN-KIND CONTRIBUTIONS TO STATE AND LOCAL CANDIDATES RUNNING FOR PUBLIC OFFICE.
743234716,2018,"SCHEDULE C, PART II-B, LINE 1",NAPPA ENGAGES IN EDUCATION AND OUTREACH TO LEGISLATORS AND VOTERS TO HELP INFORM AND IMPACT CHANGE IN LEGISLATION
475501097,2018,"Part I-A, Line 1:","Part I-A: Planned Parenthood Advocates Pasadena and San Gabriel Valley endorsed candidates for three statewide offices and conducted coordinated as well as independent expenditure work on these campaigns, primarily California's Senate District 25."
880361875,2017,"PART II-B, LINE 1:",LOBBYING EXPENSES FOR THE CURRENT FISCAL YEAR THAT WERE ACCRUED IN THE PRIOR YEAR AND PAID THIS YEAR. EXPENDITURES AND TIME SPENT LOBBYING WERE INSUBSTANTIAL COMPARED TO TIME/EXPENDITURES SPENT ON TYPICAL ACTIVITIES THE SMITH CENTER ENGAGES IN. THE SMITH CENTER HAS NO PLANS TO CONTINUE TO LOBBY IN THE FUTURE.
364724966,2017,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: NORTHWESTERN MEMORIAL HOSPITAL ADDRESS: 251 E HURON CHICAGO, Illinois 60611 EIN: 37-0960170 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: 86,855 TOTAL LOBBYING EXPENDITURES: 86,855 OTHER EXEMPT PURPOSE EXPENDITURES: 1,690,138,884 TOTAL EXEMPT PURPOSE EXPENDITURES: 1,690,225,739 LOBBYING NONTAXABLE AMOUNT: 1,000,000 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 250,000 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
